profileID,respID,qID,altID,obsID,price,dist_green,dist_shops,dist_trans,parking
272,23,4,1,224,-10,5km,5km,200m,On street paid
43,23,4,2,224,0,15km,15km,200m,Garage
380,23,5,1,225,20,5km,10km,800m,On street paid
272,23,5,2,225,-10,5km,5km,200m,On street paid
67,23,6,1,226,-10,10km,10km,400m,Garage
352,23,6,2,226,-10,10km,15km,400m,On street paid
360,23,7,1,227,20,15km,15km,400m,On street paid
1,23,7,2,227,-20,5km,5km,200m,Garage
16,23,8,1,228,-20,5km,10km,200m,Garage
371,23,8,2,228,-20,15km,5km,800m,On street paid
201,23,9,1,229,-20,10km,10km,400m,On street free
128,23,9,2,229,0,10km,15km,800m,Garage
301,23,10,1,230,-20,5km,15km,200m,On street paid
179,23,10,2,230,10,15km,15km,200m,On street free
128,24,1,1,231,0,10km,15km,800m,Garage
368,24,1,2,231,0,10km,5km,800m,On street paid
59,24,2,1,232,10,15km,5km,400m,Garage
383,24,2,2,232,0,10km,10km,800m,On street paid
280,24,3,1,233,20,10km,5km,200m,On street paid
195,24,3,2,233,20,15km,5km,400m,On street free
95,24,4,1,234,20,5km,5km,800m,Garage
267,24,4,2,234,-10,15km,15km,800m,On street free
232,24,5,1,235,-10,10km,5km,800m,On street free
148,24,5,2,235,0,15km,5km,200m,On street free
267,24,6,1,236,-10,15km,15km,800m,On street free
213,24,6,2,236,0,5km,15km,400m,On street free
28,24,7,1,237,0,15km,10km,200m,Garage
360,24,7,2,237,20,15km,15km,400m,On street paid
179,24,8,1,238,10,15km,15km,200m,On street free
114,24,8,2,238,10,10km,10km,800m,Garage
77,24,9,1,239,-10,5km,15km,400m,Garage
244,24,9,2,239,10,5km,10km,800m,On street free
1,24,10,1,240,-20,5km,5km,200m,Garage
152,24,10,2,240,-10,5km,10km,200m,On street free
43,25,1,1,241,0,15km,15km,200m,Garage
260,25,1,2,241,20,5km,15km,800m,On street free
160,25,2,1,242,20,10km,10km,200m,On street free
16,25,2,2,242,-20,5km,10km,200m,Garage
51,25,3,1,243,-20,10km,5km,400m,Garage
95,25,3,2,243,20,5km,5km,800m,Garage
102,25,4,1,244,-10,15km,5km,800m,Garage
51,25,4,2,244,-20,10km,5km,400m,Garage
244,25,5,1,245,10,5km,10km,800m,On street free
301,25,5,2,245,-20,5km,15km,200m,On street paid
144,25,6,1,246,10,10km,5km,200m,On street free
124,25,6,2,246,10,5km,15km,800m,Garage
213,25,7,1,247,0,5km,15km,400m,On street free
201,25,7,2,247,-20,10km,10km,400m,On street free
251,25,8,1,248,-20,15km,10km,800m,On street free
77,25,8,2,248,-10,5km,15km,400m,Garage
148,25,9,1,249,0,15km,5km,200m,On street free
319,25,9,2,249,10,5km,5km,400m,On street paid
75,25,10,1,250,20,15km,10km,400m,Garage
251,25,10,2,250,-20,15km,10km,800m,On street free
260,26,1,1,251,20,5km,15km,800m,On street free
28,26,1,2,251,0,15km,10km,200m,Garage
124,26,2,1,252,10,5km,15km,800m,Garage
297,26,2,2,252,-10,15km,10km,200m,On street paid
383,26,3,1,253,0,10km,10km,800m,On street paid
280,26,3,2,253,20,10km,5km,200m,On street paid
40,26,4,1,254,20,10km,15km,200m,Garage
160,26,4,2,254,20,10km,10km,200m,On street free
401,26,5,1,255,-20,15km,15km,800m,On street paid
59,26,5,2,255,10,15km,5km,400m,Garage
368,26,6,1,256,0,10km,5km,800m,On street paid
344,26,6,2,256,10,15km,10km,400m,On street paid
297,26,7,1,257,-10,15km,10km,200m,On street paid
40,26,7,2,257,20,10km,15km,200m,Garage
309,26,8,1,258,10,10km,15km,200m,On street paid
144,26,8,2,258,10,10km,5km,200m,On street free
195,26,9,1,259,20,15km,5km,400m,On street free
380,26,9,2,259,20,5km,10km,800m,On street paid
371,26,10,1,260,-20,15km,5km,800m,On street paid
333,26,10,2,260,0,5km,10km,400m,On street paid
319,27,1,1,261,10,5km,5km,400m,On street paid
75,27,1,2,261,20,15km,10km,400m,Garage
344,27,2,1,262,10,15km,10km,400m,On street paid
102,27,2,2,262,-10,15km,5km,800m,Garage
183,27,3,1,263,0,5km,5km,400m,On street free
309,27,3,2,263,10,10km,15km,200m,On street paid
152,27,4,1,264,-10,5km,10km,200m,On street free
232,27,4,2,264,-10,10km,5km,800m,On street free
114,27,5,1,265,10,10km,10km,800m,Garage
67,27,5,2,265,-10,10km,10km,400m,Garage
333,27,6,1,266,0,5km,10km,400m,On street paid
216,27,6,2,266,-20,10km,15km,400m,On street free
216,27,7,1,267,-20,10km,15km,400m,On street free
401,27,7,2,267,-20,15km,15km,800m,On street paid
352,27,8,1,268,-10,10km,15km,400m,On street paid
183,27,8,2,268,0,5km,5km,400m,On street free
