profileID,respID,qID,altID,obsID,price,dist_green,dist_shops,dist_trans,parking
160,25,6,1,222,20,5km,5km,200, reserverad P-plats
152,25,6,2,222,-20,500 meter,5km,200, reserverad P-plats
43,25,7,1,223,-10,15km,15km,200,reserverad garageplats
114,25,7,2,223,10,5km,5km,800,reserverad garageplats
213,25,8,1,224,-10,500 meter,15km,400, reserverad P-plats
216,25,8,2,224,0,5km,15km,400, reserverad P-plats
352,25,9,1,225,-20,5km,15km,400,ingen P-plats
179,25,9,2,225,10,15km,15km,200, reserverad P-plats
1,26,1,1,226,0,500 meter,500 meter,200,reserverad garageplats
28,26,1,2,226,-10,15km,5km,200,reserverad garageplats
371,26,2,1,227,0,15km,500 meter,800,ingen P-plats
333,26,2,2,227,-10,500 meter,5km,400,ingen P-plats
